title,source_title,year,oa_status_may,oa_status_june,DOI
"First-principles investigation on type-II aluminum-substituted ternary and quaternary clathrate semiconductors R8Al8Si128 (R = Cs, Rb), Cs8Na16Al24Si112",Applied Sciences (Switzerland),2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/app9010125
A modified bayesian network model to predict reorder level of printed circuit board,Applied Sciences (Switzerland),2018,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/app8060915
GRB 160625B: Evidence for a Gaussian-shaped Jet,Astrophysical Journal,2020,"All Open Access, Green","All Open Access, Bronze, Green",10.3847/1538-4357/abc2cd
The broad-lined ic supernova ztf18aaqjovh (sn 2018bvw): An optically discovered engine-driven supernova candidate with luminous radio emission,Astrophysical Journal,2020,"All Open Access, Bronze, Green","All Open Access, Green",10.3847/1538-4357/ab7f3b
"All at Once: Transient Pulsations, Spin-down, and a Glitch from the Pulsating Ultraluminous X-Ray Source M82 X-2",Astrophysical Journal,2020,"All Open Access, Green","All Open Access, Bronze, Green",10.3847/1538-4357/ab6d00
"Short GRB 160821B: A Reverse Shock, a Refreshed Shock, and a Well-sampled Kilonova",Astrophysical Journal,2019,"All Open Access, Green","All Open Access, Bronze, Green",10.3847/1538-4357/ab38bb
Optimized Radio Follow-up of Binary Neutron-star Mergers,Astrophysical Journal,2018,"All Open Access, Green","All Open Access, Bronze, Green",10.3847/1538-4357/aae583
"IPTF 16asu: A Luminous, Rapidly Evolving, and High-velocity Supernova",Astrophysical Journal,2017,"All Open Access, Green","All Open Access, Bronze, Green",10.3847/1538-4357/aa99de
THE NEXT GENERATION VIRGO CLUSTER SURVEY. XXII. SHELL FEATURE EARLY-TYPE DWARF GALAXIES in the VIRGO CLUSTER,Astrophysical Journal,2017,"All Open Access, Green","All Open Access, Bronze, Green",10.3847/1538-4357/834/1/66
THE PAndAS VIEW of the ANDROMEDA SATELLITE SYSTEM. II. DETAILED PROPERTIES of 23 M31 DWARF SPHEROIDAL GALAXIES,Astrophysical Journal,2016,"All Open Access, Bronze, Green","All Open Access, Green",10.3847/1538-4357/833/2/167
SN 2012cg: EVIDENCE for INTERACTION between A NORMAL SN Ia and A NON-DEGENERATE BINARY COMPANION,Astrophysical Journal,2016,"All Open Access, Bronze, Green","All Open Access, Green",10.3847/0004-637X/820/2/92
Model dependence of Bayesian gravitational-wave background statistics for pulsar timing arrays,Astrophysical Journal Letters,2020,"All Open Access, Green","All Open Access, Bronze, Green",10.3847/2041-8213/abca92
SPECTROSCOPIC CONFIRMATION of the DWARF SPHEROIDAL GALAXY d0994+71 AS A MEMBER of the M81 GROUP of GALAXIES,Astrophysical Journal Letters,2016,"All Open Access, Green",Closed,10.3847/2041-8205/830/1/L21
Are some milky way globular clusters hosted by undiscovered galaxies?,Astrophysical Journal Letters,2016,"All Open Access, Bronze, Green","All Open Access, Green",10.3847/2041-8205/826/1/L9
Telomere maintenance mechanisms define clinical outcome in high-risk neuroblastoma,Cancer Research,2020,"All Open Access, Bronze, Green","All Open Access, Green",10.1158/0008-5472.CAN-19-3068
R-Spondin1/LGR5 activates TGFβ signaling and suppresses colon cancer metastasis,Cancer Research,2017,"All Open Access, Bronze, Green","All Open Access, Green",10.1158/0008-5472.CAN-17-0219
Electrocatalytic degradation of azo dye by vanadium-doped TiO2 nanocatalyst,Catalysts,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/catal10050482
"Diagnostic and methodological evaluation of studies on the urinary shedding of SARS-CoV-2, compared to stool and serum: A systematic review and meta-analysis",Cellular and Molecular Biology,2020,"All Open Access, Hybrid Gold, Green","All Open Access, Green",10.14715/cmb/2020.66.6.26
Intramolecular 13C isotope distributions of butane from natural gases,Chemical Geology,2020,"All Open Access, Bronze","All Open Access, Bronze, Green",10.1016/j.chemgeo.2020.119571
A nonparametric economic index to measure the collective effort of national-level economic activities directed towards greater efficiency,Cogent Economics and Finance,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.1080/23322039.2019.1695997
The introductory communication course from 1956 to 2016: a meta-synthesis,Communication Education,2020,Closed,"All Open Access, Hybrid Gold",10.1080/03634523.2019.1679380
Image or text: Which one is more influential? a deep-learning approach for visual and textual data analysis in the digital economy,Communications of the Association for Information Systems,2020,"All Open Access, Bronze",Closed,10.17705/1CAIS.04708
An evolutionary approach for the hierarchical scheduling of safety-and security-critical multicore architectures,Computers,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/computers9030071
"Effect of deficit irrigation on physiology and forage yield of forage sorghum, pearl millet, and corn",Crop Science,2020,"All Open Access, Bronze",Closed,10.1002/csc2.20171
ATLANTIC BATS: a data set of bat communities from the Atlantic Forests of South America,Ecology,2017,"All Open Access, Green","All Open Access, Bronze, Green",10.1002/ecy.2007
Competition in wearable device market: the effect of network externality and product compatibility,Electronic Commerce Research,2017,Closed,"All Open Access, Green",10.1007/s10660-016-9227-6
Robustness and unpredictability for double arbiter pufs on silicon data: Performance evaluation and modeling accuracy,Electronics (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/electronics9050870
Time-varying influences of oil-producing countries on global oil price,Energies,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/en13061404
Screening of spontaneous ignition feasibility during air injection EOR process based on thermal experiments,Energies,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/en12193687
The role of education in realising youths' human capital: Social philosophical analysis,Ensaio,2018,"All Open Access, Gold","All Open Access, Gold, Green",10.1590/S0104-40362018002601727
Availability of attention affects time-to-contact estimation,Experimental Brain Research,2018,Closed,"All Open Access, Green",10.1007/s00221-018-5273-8
Metagenomic sequencing provides insights into microbial detoxification in the guts of small mammalian herbivores (Neotoma spp.),FEMS Microbiology Ecology,2018,"All Open Access, Green","All Open Access, Bronze, Green",10.1093/femsec/fiy184
Kinetics of cellulose deposition in developing cotton fibers studied by thermogravimetric analysis,Fibers,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/fib7090078
Molecular thermodynamic modeling of aqueous Na + -K + -Mg 2+ -Ca 2+ -SO 42− quinary system,Fluid Phase Equilibria,2019,"All Open Access, Bronze","All Open Access, Green",10.1016/j.fluid.2019.03.006
Small molecule inhibitors for acute myeloid leukemia: Where is the field heading?,Future Medicinal Chemistry,2017,"All Open Access, Bronze",Closed,10.4155/fmc-2017-0114
"Draft genome sequence of Enterococcus faecium strain J19, isolated from cabbage",Genome Announcements,2018,"All Open Access, Gold, Green","All Open Access, Bronze, Green",10.1128/genomeA.00213-18
Review of impact factors of the velocity of large hailstones for laboratory hail impact testing consideration,Geosciences (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/geosciences10120500
Uncertainty analysis in prediction of settlements for spatial prefabricated vertical drains improved soft soil sites,Geosciences (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/geosciences10020042
Stability analysis of plant-root-reinforced shallow slopes along mountainous road corridors based on numerical modeling,Geosciences (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/geosciences10010019
Acclimation of leaf respiration consistent with optimal photosynthetic capacity,Global Change Biology,2020,"All Open Access, Bronze, Green","All Open Access, Green",10.1111/gcb.14980
High-Resolution Characterization of a Chlorinated Solvent Impacted Aquifer Using a Passive Profiler,Groundwater Monitoring and Remediation,2020,"All Open Access, Bronze",Closed,10.1111/gwmr.12409
Synthesizing stealthy reprogramming attacks on cardiac devices,ICCPS 2019 - Proceedings of the 2019 ACM/IEEE International Conference on Cyber-Physical Systems,2019,"All Open Access, Green","All Open Access, Bronze, Green",10.1145/3302509.3311044
Intermodulation-Based Nonlinear Smart Health Sensing of Human Vital Signs and Location,IEEE Access,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.1109/ACCESS.2019.2950347
Wide-angle beam steering based on an active conformal metasurface lens,IEEE Access,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.1109/ACCESS.2019.2960639
Go Real: Power Electronics from Simulations to Experiments in Hours: Versatile Experimental Tool for Next Generation Engineers,IEEE Power Electronics Magazine,2020,"All Open Access, Green",Closed,10.1109/MPEL.2020.3011300
Differential Susceptibility to T Cell-Induced Colitis in Mice: Role of the Intestinal Microbiota,Inflammatory Bowel Diseases,2018,"All Open Access, Green","All Open Access, Bronze, Green",10.1093/ibd/izx014
"First principles study of the vibrational and thermal properties of Sn-based type II clathrates, CsxSn136 (0 ≤ x ≤ 24) and Rb24Ga24Sn112",Inorganics,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/INORGANICS7060074
"Non-selective dimerization of vinyl silanes by the putative (phenanthroline)PdMe cation to 1,4-bis(trialkoxysilyl)butenes",Inorganics,2018,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/inorganics6040102
Drivers of post-disaster relocations: The case of Moore and Hattiesburg tornados,International Journal of Disaster Risk Reduction,2020,Closed,"All Open Access, Bronze",10.1016/j.ijdrr.2020.101643
The use of 3D virtual fitting technology: comparison between sourcing agents contractors and domestic suppliers in the apparel industry,"International Journal of Fashion Design, Technology and Education",2020,"All Open Access, Bronze",Closed,10.1080/17543266.2020.1797905
Analysis of an iterative scheme for approximate regulation for nonlinear systems,International Journal of Robust and Nonlinear Control,2018,Closed,"All Open Access, Bronze",10.1002/rnc.4074
Anisotropic index of refraction and structural properties of hexagonal boron nitride epilayers probed by spectroscopic ellipsometry,Journal of Applied Physics,2020,"All Open Access, Green",Closed,10.1063/1.5134908
"Learning laboratory chemistry through electronic sensors, a microprocessor, and student enabling software: A preliminary demonstration",Journal of Chemical Education,2017,"All Open Access, Bronze",Closed,10.1021/acs.jchemed.7b00172
Semiclassical vibrational spectroscopy with Hessian databases,Journal of Chemical Physics,2019,"All Open Access, Bronze, Green","All Open Access, Green",10.1063/1.5109086
"Evaluation of serum protein-based arrival formula and serum protein supplement (Gammulin) on growth, morbidity, and mortality of stressed (transport and cold) male dairy calves",Journal of Dairy Science,2016,"All Open Access, Bronze, Green","All Open Access, Green",10.3168/jds.2016-11237
Contrasting winter moose nutritional carrying capacity models on a dynamic landscape,Journal of Fish and Wildlife Management,2019,"All Open Access, Gold","All Open Access, Bronze",10.3996/122017-JFWM-104
Summer habitat selection of the lower colorado river valley population of greater sandhill cranes,Journal of Fish and Wildlife Management,2017,"All Open Access, Bronze, Green","All Open Access, Green",10.3996/042017-JFWM-037
"Effects of temperature, total dissolved solids, and total suspended solids on survival and development rate of larval Arkansas River shiner",Journal of Fish and Wildlife Management,2017,"All Open Access, Green","All Open Access, Bronze, Green",10.3996/112015-JFWM-111
Assessment of diurnal wind turbine collision risk for grassland birds on the Southern great plains,Journal of Fish and Wildlife Management,2016,"All Open Access, Bronze",Closed,10.3996/042015-JFWM-031
New summer areas and mixing of two greater sandhill crane populations in the Intermountain West,Journal of Fish and Wildlife Management,2016,Closed,"All Open Access, Bronze",10.3996/042015-JFWM-036
Adipose tissue inflammation in insulin resistance: Review of mechanisms mediating anti-inflammatory effects of omega-3 polyunsaturated fatty acids,Journal of Investigative Medicine,2017,"All Open Access, Green","All Open Access, Bronze, Green",10.1136/jim-2017-000535
Pharmaconutrition in the clinical management of COVID-19: A lack of evidence-based research but clues to personalized prescription,Journal of Personalized Medicine,2020,"All Open Access, Green","All Open Access, Gold, Green",10.3390/jpm10040145
"The impact of the sonic logo’s acoustic features on orienting responses, emotions and brand personality transmission",Journal of Product and Brand Management,2020,"All Open Access, Hybrid Gold",Closed,10.1108/JPBM-05-2019-2370
The use of impression management strategies to manage stock market reactions to IT failures,Journal of the Association for Information Systems,2018,Closed,"All Open Access, Bronze",10.17705/1jais.00494
Environmental seasonality on predator–prey systems under nutrient and toxicant constraints,Journal of Theoretical Biology,2019,Closed,"All Open Access, Bronze",10.1016/j.jtbi.2019.08.001
Lessons learned from a pilot study implementing ateam-based messaging application (SLACK) to improve communication andteamwork in veterinary medical education,Journal of Veterinary Medical Education,2020,Closed,"All Open Access, Bronze",10.3138/jvme.0717-091r2
Tetherin antagonism by HIV-1 group M Nef proteins,Journal of Virology,2016,"All Open Access, Bronze, Green","All Open Access, Green",10.1128/JVI.01465-16
"Multilocus phylogeny and coalescent species delimitation in Kotschy's gecko, Mediodactylus kotschyi: Hidden diversity and cryptic species",Molecular Phylogenetics and Evolution,2018,Closed,"All Open Access, Green",10.1016/j.ympev.2018.03.022
Radio forensics could unmask nearby off-axis gamma-ray bursts,Monthly Notices of the Royal Astronomical Society,2019,Closed,"All Open Access, Green",10.1093/mnras/stz719
"Dynamical evidence for a strong tidal interaction between the Milky Way and its satellite, Leo V",Monthly Notices of the Royal Astronomical Society,2017,"All Open Access, Green","All Open Access, Bronze, Green",10.1093/mnras/stx067
The international pulsar timing array: First data release,Monthly Notices of the Royal Astronomical Society,2016,"All Open Access, Green","All Open Access, Bronze, Green",10.1093/mnras/stw347
"First test-beam results obtained with IDEA, a detector concept designed for future lepton colliders","Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",2020,"All Open Access, Green",Closed,10.1016/j.nima.2019.04.042
"Dual-readout calorimetry, an integrated high-resolution solution for energy measurements at future electron–positron colliders","Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",2020,"All Open Access, Green",Closed,10.1016/j.nima.2019.04.017
Perceptions of Barriers to Effective Obesity Care: Results from the National ACTION Study,Obesity,2018,Closed,"All Open Access, Bronze",10.1002/oby.22054
Statistical learning models for sleep quality prediction using electrocardiograms,Open Biomedical Engineering Journal,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.2174/1874120701913010074
Isochoric structural recovery in molecular glasses and its analog in colloidal glasses,Physical Review E,2018,"All Open Access, Bronze",Closed,10.1103/PhysRevE.97.062601
GW170817: Implications for the Stochastic Gravitational-Wave Background from Compact Binary Coalescences,Physical Review Letters,2018,"All Open Access, Bronze, Green","All Open Access, Green",10.1103/PhysRevLett.120.091101
Machine learning uncovers the most robust self-report predictors of relationship quality across 43 longitudinal couples studies,Proceedings of the National Academy of Sciences of the United States of America,2020,"All Open Access, Green","All Open Access, Bronze, Green",10.1073/pnas.1917036117
Roll maneuvers are essential for active reorientation of Caenorhabditis elegans in 3D media,Proceedings of the National Academy of Sciences of the United States of America,2018,"All Open Access, Bronze, Green","All Open Access, Green",10.1073/pnas.1706754115
Geography of intergenerational mobility and child development,Proceedings of the National Academy of Sciences of the United States of America,2017,"All Open Access, Bronze, Green","All Open Access, Green",10.1073/pnas.1700945114
Stem caecilian from the Triassic of Colorado sheds light on the origins of Lissamphibia,Proceedings of the National Academy of Sciences of the United States of America,2017,"All Open Access, Bronze, Green","All Open Access, Green",10.1073/pnas.1706752114
Exploring the function of ion-exchange membrane in membrane capacitive deionization via a fully coupled two-dimensional process model,Processes,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/pr8101312
Retrorectus repair of incisional ventral hernia with urinary bladder matrix reinforcement in a long-term porcine model,Regenerative Medicine,2018,"All Open Access, Hybrid Gold",Closed,10.2217/rme-2018-0023
Quantifying citrus tree health using true color UAV images,Remote Sensing,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/rs12010170
Time series of landsat imagery shows vegetation recovery in two fragile karst watersheds in southwest China from 1988 to 2016,Remote Sensing,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/rs11172044
"Hizmet, religious knowledge, and scientific education*",Revista Brasileira de Ciencias Sociais,2016,"All Open Access, Bronze","All Open Access, Bronze, Green",10.17666/31909-16/2016
Carotane sesquiterpenes fromFerula vesceritensis:in silicoanalysis as SARS-CoV-2 binding inhibitors,RSC Advances,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.1039/d0ra06901a
Tandem microfluidic chip isolation of prostate and breast cancer cells from simulated liquid biopsies using CD71 as an affinity ligand,RSC Advances,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.1039/d0ra03626a
Synthesis of metal iodates from an energetic salt,RSC Advances,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.1039/d0ra02250k
Sarcoehrenbergilides D-F: Cytotoxic cembrene diterpenoids from the soft coral: Sarcophyton ehrenbergi,RSC Advances,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.1039/c9ra04158c
"Microfluidic preparation, shrinkage, and surface modification of monodispersed alginate microbeads for 3D cell culture",RSC Advances,2019,"All Open Access, Gold","All Open Access, Gold, Green",10.1039/C9RA01443H
Enhanced adsorption behaviors of Co2+ on robust chitosan hydrogel microspheres derived from an alkali solution system: kinetics and isotherm analysis,RSC Advances,2018,"All Open Access, Gold","All Open Access, Gold, Green",10.1039/c8ra06110f
"Capillary-Based Microfluidics—Coflow, Flow-Focusing, Electro-Coflow, Drops, Jets, and Instabilities",Small,2020,"All Open Access, Bronze",Closed,10.1002/smll.201904344
The impact of essential oil feed supplementation on enteric gas emissions and production parameters from dairy cattle,Sustainability (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/su122410347
Effect of seed meals on weed control and soil physical properties in direct-seeded pumpkin,Sustainability (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/su12145811
A review on potential plant-basedwater stress indicators for vegetable crops,Sustainability (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/SU12103945
Improving centrifugal compressor performance by optimizing the design of impellers using genetic algorithm and computational fluid dynamics methods,Sustainability (Switzerland),2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/su11195409
Municipal efforts to reduce greenhouse gas emissions: Evidence from U.S. cities on the U.S.-Mexico border,Sustainability (Switzerland),2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/su11174763
Suitability of scoria as fine aggregate and its effect on the properties of concrete,Sustainability (Switzerland),2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/su11174647
Comparative Investigation of the Effect of Recycled Fine Aggregate from New and Old Construction Wastes in C-25 Concrete in Ethiopia,Sustainability (Switzerland),2019,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/su11247116
Derivation and application of the subjective– objective probability relationship from entropy: The entropy decision risk model (edrm),Systems,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/systems8040046
Musical structure: Time and rhythm,The Routledge Companion to Music Cognition,2017,"All Open Access, Green",Closed,10.4324/9781315194738
The representation of women,The Routledge Handbook of East European Politics,2017,Closed,"All Open Access, Green",10.4324/9781315687681
Interaction of Macrophages and Cholesterol-Dependent Cytolysins: The Impact on Immune Response and Cellular Survival,Toxins,2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/toxins12090531
Managing water quality in premise plumbing: Subject matter experts' perspectives and a systematic review of guidance documents,Water (Switzerland),2020,"All Open Access, Gold","All Open Access, Gold, Green",10.3390/w12020347
Improving Robustness of Hydrologic Ensemble Predictions Through Probabilistic Pre- and Post-Processing in Sequential Data Assimilation,Water Resources Research,2018,Closed,"All Open Access, Green",10.1002/2018WR022546
"Polarized U.S. publics, Pope Francis, and climate change: Reviewing the studies and data collected around the 2015 Papal Encyclical",Wiley Interdisciplinary Reviews: Climate Change,2020,"All Open Access, Hybrid Gold","All Open Access, Hybrid Gold, Green",10.1002/wcc.674
